class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
01_Good,03_Tracking_Error,median_fwhm,0.5640000000000001,0.10011992808627063,0.39,0.66,0.21600000000000003,0.09911609354691095,0.06000000000000005,0.32000000000000006,HIGH,0.8,0.3252883906453089
01_Good,03_Tracking_Error,median_fwhm_ratio,0.38,0.13311649033834988,0.22,0.57,0.296,0.20214846029589245,0.020000000000000018,0.56,LOW,0.8,0.33898515397041074
01_Good,03_Tracking_Error,median_hfr,0.552,0.10961751684835778,0.39,0.68,0.19200000000000003,0.1483778959279313,0.020000000000000018,0.3600000000000001,HIGH,0.8,0.29756221040720693
01_Good,03_Tracking_Error,saturated_ratio,0.518,0.09579144011862437,0.38,0.63,0.18799999999999997,0.05153639490690053,0.1399999999999999,0.26,HIGH,0.6,0.3114463605093099
01_Good,03_Tracking_Error,sharpness,0.514,0.13032267646115928,0.39,0.71,0.244,0.09583318840568747,0.16000000000000003,0.41999999999999993,LOW,0.6,0.33821668115943126
01_Good,03_Tracking_Error,star_count,0.522,0.10538500842150178,0.345,0.66,0.168,0.13466996695625943,0.0,0.32000000000000006,HIGH,0.75,0.27463300330437407
01_Good,03_Tracking_Error,std_intensity,0.502,0.11956588142108099,0.35,0.65,0.21200000000000002,0.11070682002478441,0.0,0.30000000000000004,HIGH,0.5,0.25932931799752157
01_Good,03_Tracking_Error,streak_count,0.45,0.031622776601683784,0.4,0.5,0.09999999999999998,0.06324555320336757,0.0,0.19999999999999996,LOW,1.0,0.2886754446796632
01_Good,03_Tracking_Error,valid_profile_count,0.522,0.10538500842150178,0.345,0.66,0.168,0.13466996695625943,0.0,0.32000000000000006,HIGH,0.75,0.27463300330437407
01_Good,04_Over_Saturated,axis_aligned_line_ratio,0.5780000000000001,0.15341447128612085,0.41,0.86,0.22800000000000004,0.25786818338057915,0.0,0.72,HIGH,0.75,0.2893131816619421
01_Good,04_Over_Saturated,background_mad,0.9480000000000001,0.03867815921162742,0.9,1.0,0.8959999999999999,0.07735631842325484,0.8,1.0,HIGH,1.0,0.8854643681576746
01_Good,04_Over_Saturated,background_median,0.952,0.037094473981982796,0.9,1.0,0.9039999999999999,0.07418894796396559,0.8,1.0,HIGH,1.0,0.8893811052036035
01_Good,04_Over_Saturated,bright_area_ratio,0.16799999999999998,0.06305553108173778,0.07,0.25,0.6639999999999999,0.12611106216347556,0.5,0.86,LOW,1.0,0.6861888937836524
01_Good,04_Over_Saturated,diagonal_line_ratio,0.76,0.13870832707519762,0.5,0.89,0.52,0.27741665415039524,0.0,0.78,HIGH,1.0,0.45625833458496046
01_Good,04_Over_Saturated,elongated_angle_consistency,0.38,0.048476798574163295,0.32,0.455,0.24000000000000005,0.09695359714832659,0.08999999999999997,0.36,LOW,1.0,0.37530464028516736
01_Good,04_Over_Saturated,elongated_angle_std,0.62,0.0484767985741633,0.545,0.68,0.24000000000000005,0.09695359714832659,0.09000000000000008,0.3600000000000001,HIGH,1.0,0.37530464028516736
01_Good,04_Over_Saturated,elongated_radial_alignment,0.37,0.15786069808536893,0.09,0.52,0.28400000000000003,0.2943195542263545,0.020000000000000018,0.8200000000000001,LOW,0.6,0.2943680445773646
01_Good,04_Over_Saturated,elongated_star_count,0.35,0.04888762624632126,0.27,0.415,0.3,0.09777525249264252,0.17000000000000004,0.45999999999999996,LOW,1.0,0.42622247475073577
01_Good,04_Over_Saturated,elongated_star_ratio,0.579,0.142492105044455,0.39,0.78,0.29000000000000004,0.1485934049680537,0.10999999999999999,0.56,HIGH,0.6,0.33864065950319466
01_Good,04_Over_Saturated,line_angle_std,0.728,0.10888526071052962,0.59,0.83,0.45600000000000007,0.21777052142105924,0.17999999999999994,0.6599999999999999,HIGH,1.0,0.4874229478578941
01_Good,04_Over_Saturated,long_line_count,0.892,0.07082372483850309,0.8,1.0,0.784,0.14164744967700618,0.6000000000000001,1.0,HIGH,1.0,0.7686352550322995
01_Good,04_Over_Saturated,longest_line_ratio,0.916,0.0655286197016235,0.82,1.0,0.8320000000000001,0.131057239403247,0.6399999999999999,1.0,HIGH,1.0,0.8032942760596753
01_Good,04_Over_Saturated,max_aspect_ratio,0.255,0.08983317872590284,0.155,0.39,0.49000000000000005,0.17966635745180565,0.21999999999999997,0.69,LOW,1.0,0.5185333642548194
01_Good,04_Over_Saturated,max_streak_area_ratio,0.564,0.068585712797929,0.48,0.66,0.14400000000000004,0.12026637102698326,0.0,0.32000000000000006,HIGH,0.75,0.2652733628973017
