class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,03_Tracking_Error,mean_intensity,5,0.39,0.21999999999999997,LOW,10,10
01_Good,03_Tracking_Error,mean_star_area,1,0.37,0.26,LOW,10,10
01_Good,03_Tracking_Error,mean_star_area,2,0.56,0.1200000000000001,HIGH,10,10
01_Good,03_Tracking_Error,mean_star_area,3,0.61,0.21999999999999997,HIGH,10,10
01_Good,03_Tracking_Error,mean_star_area,4,0.72,0.43999999999999995,HIGH,10,10
01_Good,03_Tracking_Error,mean_star_area,5,0.63,0.26,HIGH,10,10
01_Good,03_Tracking_Error,median_eccentricity,1,0.22,0.56,LOW,10,10
01_Good,03_Tracking_Error,median_eccentricity,2,0.24,0.52,LOW,10,10
01_Good,03_Tracking_Error,median_eccentricity,3,0.36,0.28,LOW,10,10
01_Good,03_Tracking_Error,median_eccentricity,4,0.49,0.020000000000000018,LOW,10,10
01_Good,03_Tracking_Error,median_eccentricity,5,0.57,0.1399999999999999,HIGH,10,10
01_Good,03_Tracking_Error,median_fwhm,1,0.39,0.21999999999999997,LOW,10,10
01_Good,03_Tracking_Error,median_fwhm,2,0.58,0.15999999999999992,HIGH,10,10
01_Good,03_Tracking_Error,median_fwhm,3,0.66,0.32000000000000006,HIGH,10,10
01_Good,03_Tracking_Error,median_fwhm,4,0.66,0.32000000000000006,HIGH,10,10
